-,А,Б,В,Г,Д,Е,Ж,З,И,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,
Л,ЛАпти/лиана,лебедь(из модулей)/любовь(сердечко),лаврушка/лев,лего,лёд/лодка/ладонь,ЛЕйка,ложка/лыжи,лезвие/лазер,Love Is,лак(для волос)/лак(для ногтей)/лук(зелёный),-,лимон/лампа/лампочка/лямки,линейка/ленточка/линзы,ЛОбзик/Лео(Дикаприо)/леопард(+100500),лупа/лопата/лопатка(для обуви),Ларин/лорнет,лестница/ласточка/лисички/лиса/Лось/листик/ластик,лоток/лото(бочонок),лгун,лифчик,лохмотья,люцифер/лацкан,луч,Лёша/лошадь,
М,МАска/МА,мобильник,мивина(приправа)/Milky Way,магнит/магия(головоломка),мед/медаль,МЕга,мужик,мозг/мазик,майка,мука/макароны/микрофон,мел/мыло/молоток/молоко,-,монета/мандарин/минералка/монитор/Mentos,много,мопед/мопс,маркер/мороковка/мармелад/мороженое/морж,масло(сливочное)/масло(растительное)/миска/мусор/мясо,метла/мята/матрешка/матрас/метро/МОТ,МУ/маузер,маффин,мухабойка/мухомор/мох/муха,Мацони,мяч/мочалка/меч,мышка/мешочек/мишка,
Н,НАрды/NBA/най(музыкальный инструмент),NB(new balance),неволяшка/Навальный,ноготь/нога,надкостница/надпись,наемник,нож/ножницы,Незнайка,Найк,наколенник/нокиа(3310)/наклейки/наковальня/,нуль,намордник,-,нло,напульсник/напильник,наручники/норка,носки/насос/настойка,нитки,ноут/наушники,NF/нефть,нюх,нация,ночник/ноч,нюша/нашатырь,
О,оладки/опарыши,орбит(Orbit),отвертка/освежитель,орган,орден,орео/орех/орёл/Олег,отжимания,OZ.by,оливье/опилки,очки,обложка/омлет/облако,осьминог,окно,-,отпечатки,обруч,овсянка,ортзез(на локоть),огурец/одуванчик,OFF(выключатель),OH(one-handed),овца,овчарка,общага,
П,пластилин/пластырь/платок/плазма,ПломБир/пб,пиво,погоны/пугало,подушка/пудинг/подставка,пленка(от старого фотика)/пчелы,пожарная/пижама,пазл/позор,прищепка/призрак/птичка,ПК,пельмени/палитра/пуля/пульт/пила/пальто,помидор/помада,пончик/пинцет/пена(для бритья)/пенопласт/панда/пень,пробка/плойка/провод/плов/плоскогубцы/плот,-,перо/пира/перекись/перчатка,паста/паспорт,патрон/петух/пятнашки//петарда(корсар)/пятка,пружина/паук,пуфик,пуховик/пух,пицца,печенье/печать/печь/печень,пушка/пешка,
Р,РАмка/Ра,рыба/рубашка/Red Bull,револьвер,рог,радио/редиска,ре(нота),рожок/ружья,роза,рейсшина,рак/ракетка/ракета/ракушка,ролики/рулетка/руль,ремень/ромашка/рюмка,рондо/ренген,реостат,рупор/репа/репейник,-,расческа/рис/растворитель,рота,роутер/ртуть,рафаэлки,рохля,рация/рецепт/рыцарь,ручка,решето(для муки)/решетка,
С,стакан/смазка,собака/сабля,сова/совок,сигара/сегмент,сода,свеча/стержень/снежинка/скейт,саженец,сезон/созвездие,спички/спица/спинер/сникерс(Snickers)/слива/стиралка,сок/секундомер,салфетки/соль/сало,семечки/самовар/сумка/самокат,санки/сено/сундук/сандали/соник,скотч/словарь/стол/слон/сковородка/слойка,сапог/суп,серп/скрепка/сыр/сырок/спрайт(sprite),-,сетка/сотейник,стул/сгущенка,суфле,сахар/сухарики,социум,сачок,сушка/суши/Саша,
Т,трактор,табло,TV,тигр,тиски/тесто,трезубец/треугольник,тождество,тазик/туз,Твистер (настольная игра)/Twix,тыква/tic tac/такси,телефон,тампон,танк,творог/трость,топор/тапки,торт/тарелка,тостер/тесто/тиски,-,трусы/труба/трубка/трубочки,туфли,тахта,ТЦ/ТЭЦ,точилка,тушёнка/тушь,
У,указака,урбан,ухватка,угги(уг),уксус,узел/улей,уж,УАЗ,улитка/унитаз,утка,удлинитель,ум,урна,уно(Uno)/удочка/уголь,успех,укроп,уксус/ус,утюг/устрица,-,Уфа,ухо,унция,урчание,уши,
Ф,флаг,Фаберже,февраль,фляга,фасоль,флешка,фужер(вытянутый бокал),физика (учебник),флинт/фликер/фри,факел,феликс(корм)/фольга,фамилия,фен,фломастер,фап,фарш/фартук/фара/фура,фисташки/фасоль,фата/футляр/фотик,фрукты(корзина с фрутами)/fruittella,-,фехтовальщик,ФураЦилин,фича(pocker ficha — фишка) ,фишка,
Х,ХАлва,hubba bubba(спираль)/хобот,ХВ(пасхальное яйцо)/Хованский,хог,хот-дог,хлеб/хрен,хижина,хз/хозяйственное мыло,хрип,хоккей,Halls/халк/халат,хэппи Мил/химия/хомяк/хамелеон,хан,хлопья/хвост/хлорка,хиппи,хурма,Хаски,хитрый/хит,хрусталь/хрумстик,Хофман,-,Хацкер,хач,Хештег#,
Ц,цАпля/цварт(сыр),цибуля,цивилизация,цыган,цедра(корка апельсина/ мандарина/ лимона),цветок,цяжасць,цезарь(салат),цой,цоколь,целлофан(пищевой или целлофановый пакетик),цимбалы/цемент,цинк/ценник,цокот,цепочка/цепь/цыплёнок,циркуль,цистерна,ЦТ,ЦРУ,циферблат/цифра,цех,-,царевиЧ,цишотка,
Ч,ЧАй,Чебурашка/чебурек,чувак,чугун,чудо(напиток),ЧЕреп,чужой(из фильма)/чиж,чизкейк,чайник,чек,чили(перец)/чулок,чемодан,Чинк/чан,чмо,чипсы/чупа-чупс,черпак/черепаха/червяк/черника,чеснок/часы,читос(Cheetos),чуйка,чифир,чехол,Чацкий,-,чашка,
Ш,шкаф/швабра/штаны,шуба,шаверма/щавель ,шагомер/шланг,чешки(балерины),шлепки/шлем/Шрек,шажок,шезлонг/Шазам,шприц/шайба,шоколадка/Shock(кислые зеленые конфеты),шило/Шелдон,шампунь/шампур/шампанское,шина,штопор,шапка,шарик/шарф,шест/шасси/Шастун,щётка/щит,шнурок/Шнур,шифер,шахматы,Шац,щучка,-
